unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1527552000,2018-05-29,BTC/USD,7112.2,7537.0,7026.9,7469.45,11049.92099287,82536832.36019282
1527465600,2018-05-28,BTC/USD,7348.64,7445.0,7084.99,7112.5,6583.63252959,46826086.36670888
1527379200,2018-05-27,BTC/USD,7335.99,7412.57,7213.09,7347.39,3144.45110906,23103508.634196352
1527292800,2018-05-26,BTC/USD,7459.21,7622.87,7276.04,7335.99,4043.55765023,29663498.486510776
1527206400,2018-05-25,BTC/USD,7579.3,7661.07,7328.13,7471.18,10088.84331121,75375564.36984593
1527120000,2018-05-24,BTC/USD,7509.99,7733.99,7267.24,7586.88,11648.36524358,88374749.29921223
1527033600,2018-05-23,BTC/USD,7983.98,8032.01,7435.49,7502.89,17635.90129337,132320227.45501284
1526947200,2018-05-22,BTC/USD,8403.23,8417.65,7951.41,7984.08,9101.06078693,72663597.40771207
1526860800,2018-05-21,BTC/USD,8518.64,8589.1,8320.0,8391.76,6126.97105348,51416070.607751325
1526774400,2018-05-20,BTC/USD,8225.55,8590.0,8170.71,8518.48,5314.99889979,45275711.82788312
1526688000,2018-05-19,BTC/USD,8248.99,8395.0,8141.08,8231.2,3784.07576637,31147484.44814475
1526601600,2018-05-18,BTC/USD,8058.16,8275.1,7929.53,8248.87,7181.20388348,59236817.27832167
1526515200,2018-05-17,BTC/USD,8337.77,8500.0,7980.0,8067.03,8259.12452442,66626605.31223187
1526428800,2018-05-16,BTC/USD,8481.99,8505.33,8100.01,8346.59,12705.12321984,106044454.41548434
1526342400,2018-05-15,BTC/USD,8674.53,8865.0,8400.0,8474.99,12391.83198691,105020652.17074238
1526256000,2018-05-14,BTC/USD,8696.54,8900.9,8286.57,8674.36,18861.93709627,163615232.67040065
1526169600,2018-05-13,BTC/USD,8481.72,8775.9,8335.56,8696.58,9835.22450915,85532816.76178372
1526083200,2018-05-12,BTC/USD,8408.79,8652.8,8208.81,8481.6,15464.92940302,131167345.22465444
1525996800,2018-05-11,BTC/USD,9007.19,9018.38,8351.0,8411.42,20383.92660992,171457767.96521327
1525910400,2018-05-10,BTC/USD,9308.49,9393.0,8987.74,9020.99,11764.9775057,106131744.42914464
1525824000,2018-05-09,BTC/USD,9181.52,9368.79,8974.62,9308.49,11368.83432539,105826680.62954956
1525737600,2018-05-08,BTC/USD,9356.79,9450.0,9015.0,9167.69,11418.31053651,104679531.32245736
1525651200,2018-05-07,BTC/USD,9621.99,9634.5,9175.0,9359.52,13616.3485933,127442486.9859632
1525564800,2018-05-06,BTC/USD,9827.04,9918.41,9375.0,9623.54,8155.5768566,78485520.10256436
1525478400,2018-05-05,BTC/USD,9689.0,9948.98,9670.68,9823.28,7403.10502352,72722773.51544355
1525392000,2018-05-04,BTC/USD,9737.0,9784.73,9527.38,9696.57,7326.05207111,71037576.73116308
1525305600,2018-05-03,BTC/USD,9220.0,9799.99,9165.19,9732.43,11670.79957863,113585239.94304596
1525219200,2018-05-02,BTC/USD,9066.9,9259.16,8975.23,9222.0,10575.17497792,97524263.64637823
